    nm         	nm
6.246391e+000	-4.008478e+000
6.200796e+000	-4.007465e+000
6.155202e+000	-4.006452e+000
6.109608e+000	-4.003412e+000
6.064014e+000	-3.999359e+000
6.018420e+000	-3.996319e+000
5.972825e+000	-3.993279e+000
5.927231e+000	-3.991253e+000
5.881637e+000	-3.989226e+000
5.836043e+000	-3.987199e+000
5.790449e+000	-3.984160e+000
5.744854e+000	-3.981120e+000
5.699260e+000	-3.979093e+000
5.653666e+000	-3.978080e+000
5.608072e+000	-3.977067e+000
5.562478e+000	-3.977067e+000
5.516883e+000	-3.977067e+000
5.471289e+000	-3.975040e+000
5.425695e+000	-3.975040e+000
5.380101e+000	-3.974027e+000
5.334507e+000	-3.974027e+000
5.288912e+000	-3.973014e+000
5.243318e+000	-3.972001e+000
5.197724e+000	-3.970988e+000
5.152130e+000	-3.968961e+000
5.106536e+000	-3.966934e+000
5.060941e+000	-3.963895e+000
5.015347e+000	-3.960855e+000
4.969753e+000	-3.958828e+000
4.924159e+000	-3.957815e+000
4.878565e+000	-3.954775e+000
4.832970e+000	-3.951735e+000
4.787376e+000	-3.948696e+000
4.741782e+000	-3.945656e+000
4.696188e+000	-3.942616e+000
4.650594e+000	-3.939576e+000
4.604999e+000	-3.938563e+000
4.559405e+000	-3.937550e+000
4.513811e+000	-3.935523e+000
4.468217e+000	-3.934510e+000
4.422623e+000	-3.932483e+000
4.377029e+000	-3.930457e+000
4.331434e+000	-3.929443e+000
4.285840e+000	-3.928430e+000
4.240246e+000	-3.927417e+000
4.194652e+000	-3.926404e+000
4.149058e+000	-3.925391e+000
4.103463e+000	-3.923364e+000
4.057869e+000	-3.921337e+000
4.012275e+000	-3.919311e+000
3.966681e+000	-3.919311e+000
3.921087e+000	-3.917284e+000
3.875492e+000	-3.915258e+000
3.829898e+000	-3.913232e+000
3.784304e+000	-3.909178e+000
3.738710e+000	-3.906139e+000
3.693116e+000	-3.904112e+000
3.647522e+000	-3.902085e+000
3.601928e+000	-3.900059e+000
3.556334e+000	-3.900059e+000
3.510740e+000	-3.898033e+000
3.465146e+000	-3.896006e+000
3.419552e+000	-3.892966e+000
3.373958e+000	-3.890940e+000
3.328364e+000	-3.890940e+000
3.282770e+000	-3.890940e+000
3.237176e+000	-3.891953e+000
3.191582e+000	-3.890940e+000
3.145988e+000	-3.888913e+000
3.100394e+000	-3.886886e+000
3.054800e+000	-3.885873e+000
3.009206e+000	-3.883847e+000
2.963612e+000	-3.883847e+000
2.918018e+000	-3.883847e+000
2.872424e+000	-3.883847e+000
2.826830e+000	-3.883847e+000
2.781236e+000	-3.881820e+000
2.735642e+000	-3.881820e+000
2.690048e+000	-3.881820e+000
2.644454e+000	-3.881820e+000
2.598860e+000	-3.881820e+000
2.553266e+000	-3.882834e+000
2.507673e+000	-3.882834e+000
2.462079e+000	-3.881820e+000
2.416485e+000	-3.880807e+000
2.370891e+000	-3.878780e+000
2.325297e+000	-3.877767e+000
2.279703e+000	-3.876754e+000
2.234109e+000	-3.874727e+000
2.188515e+000	-3.872701e+000
2.142921e+000	-3.869661e+000
2.097327e+000	-3.866621e+000
2.051733e+000	-3.863581e+000
2.006139e+000	-3.860542e+000
1.960545e+000	-3.858515e+000
1.914951e+000	-3.856488e+000
1.869357e+000	-3.853449e+000
1.823763e+000	-3.851422e+000
1.778169e+000	-3.849396e+000
1.732575e+000	-3.846356e+000
1.686981e+000	-3.845343e+000
1.641386e+000	-3.843316e+000
1.595792e+000	-3.844329e+000
1.550198e+000	-3.845343e+000
1.504604e+000	-3.846356e+000
1.459010e+000	-3.846356e+000
1.413416e+000	-3.845343e+000
1.367822e+000	-3.844329e+000
1.322228e+000	-3.843316e+000
1.276634e+000	-3.843316e+000
1.231040e+000	-3.843316e+000
1.185446e+000	-3.843316e+000
1.139852e+000	-3.841290e+000
1.094257e+000	-3.839263e+000
1.048663e+000	-3.835210e+000
1.003069e+000	-3.832170e+000
9.574752e-001	-3.828117e+000
9.118812e-001	-3.826091e+000
8.662872e-001	-3.823051e+000
8.206931e-001	-3.821024e+000
7.750991e-001	-3.820011e+000
7.295051e-001	-3.817984e+000
6.839110e-001	-3.816971e+000
6.383170e-001	-3.816971e+000
5.927230e-001	-3.816971e+000
5.471290e-001	-3.816971e+000
5.015349e-001	-3.816971e+000
4.559409e-001	-3.815958e+000
