    nm         	nm
1.568527e+001	-5.078374e+000
1.574606e+001	-5.080317e+000
1.580686e+001	-5.082260e+000
1.586765e+001	-5.084202e+000
1.592845e+001	-5.087116e+000
1.598925e+001	-5.090030e+000
1.605004e+001	-5.092945e+000
1.611084e+001	-5.095859e+000
1.617163e+001	-5.097801e+000
1.623243e+001	-5.098773e+000
1.629322e+001	-5.100715e+000
1.635402e+001	-5.102658e+000
1.641482e+001	-5.105572e+000
1.647561e+001	-5.109458e+000
1.653641e+001	-5.113344e+000
1.659720e+001	-5.118200e+000
1.665800e+001	-5.123057e+000
1.671880e+001	-5.126943e+000
1.677959e+001	-5.132771e+000
1.684039e+001	-5.139571e+000
1.690118e+001	-5.148313e+000
1.696198e+001	-5.158027e+000
1.702277e+001	-5.165798e+000
1.708357e+001	-5.174540e+000
1.714437e+001	-5.183283e+000
1.720516e+001	-5.192025e+000
1.726596e+001	-5.201739e+000
1.732675e+001	-5.211453e+000
1.738755e+001	-5.221167e+000
1.744834e+001	-5.231852e+000
1.750914e+001	-5.240594e+000
1.756994e+001	-5.248365e+000
1.763073e+001	-5.254194e+000
1.769153e+001	-5.260022e+000
1.775232e+001	-5.267793e+000
1.781312e+001	-5.275564e+000
1.787392e+001	-5.283335e+000
1.793471e+001	-5.290135e+000
1.799551e+001	-5.295963e+000
1.805630e+001	-5.300820e+000
1.811710e+001	-5.306648e+000
1.817789e+001	-5.311505e+000
1.823869e+001	-5.317333e+000
1.829949e+001	-5.323161e+000
1.836028e+001	-5.328990e+000
1.842108e+001	-5.333847e+000
1.848187e+001	-5.339675e+000
1.854267e+001	-5.345503e+000
1.860347e+001	-5.350360e+000
1.866426e+001	-5.356188e+000
1.872506e+001	-5.362988e+000
1.878585e+001	-5.369788e+000
1.884665e+001	-5.375616e+000
1.890744e+001	-5.380473e+000
1.896824e+001	-5.386301e+000
1.902904e+001	-5.393101e+000
1.908983e+001	-5.399901e+000
1.915063e+001	-5.406700e+000
1.921142e+001	-5.412528e+000
1.927222e+001	-5.417385e+000
1.933302e+001	-5.423213e+000
1.939381e+001	-5.430013e+000
1.945461e+001	-5.434870e+000
1.951540e+001	-5.440699e+000
1.957620e+001	-5.446527e+000
1.963699e+001	-5.453326e+000
1.969779e+001	-5.459154e+000
1.975859e+001	-5.464983e+000
1.981938e+001	-5.470811e+000
1.988018e+001	-5.477611e+000
1.994097e+001	-5.483439e+000
2.000177e+001	-5.489267e+000
2.006256e+001	-5.495095e+000
2.012336e+001	-5.498981e+000
2.018416e+001	-5.503838e+000
2.024495e+001	-5.507724e+000
2.030575e+001	-5.512581e+000
2.036654e+001	-5.517437e+000
2.042734e+001	-5.521323e+000
2.048814e+001	-5.525208e+000
2.054893e+001	-5.530065e+000
