    nm         	mV
2.576289e+001	2.184375e+001
2.565510e+001	2.190625e+001
2.554730e+001	2.190625e+001
2.543951e+001	2.190625e+001
2.533172e+001	2.187500e+001
2.522392e+001	2.187500e+001
2.511613e+001	2.187500e+001
2.500833e+001	2.187500e+001
2.490054e+001	2.184375e+001
2.479274e+001	2.184375e+001
2.468495e+001	2.187500e+001
2.457715e+001	2.184375e+001
2.446936e+001	2.184375e+001
2.436156e+001	2.184375e+001
2.425377e+001	2.184375e+001
2.414597e+001	2.187500e+001
2.403818e+001	2.187500e+001
2.393038e+001	2.184375e+001
2.382259e+001	2.181250e+001
2.371480e+001	2.181250e+001
2.360700e+001	2.184375e+001
2.349921e+001	2.184375e+001
2.339141e+001	2.181250e+001
2.328362e+001	2.181250e+001
2.317582e+001	2.184375e+001
2.306803e+001	2.181250e+001
2.296023e+001	2.175000e+001
2.285244e+001	2.168750e+001
2.274464e+001	2.162500e+001
2.263685e+001	2.159375e+001
2.252905e+001	2.159375e+001
2.242126e+001	2.156250e+001
2.231346e+001	2.156250e+001
2.220567e+001	2.156250e+001
2.209788e+001	2.156250e+001
2.199008e+001	2.156250e+001
2.188229e+001	2.153125e+001
2.177449e+001	2.153125e+001
2.166670e+001	2.153125e+001
2.155890e+001	2.153125e+001
2.145111e+001	2.159375e+001
2.134331e+001	2.162500e+001
2.123552e+001	2.165625e+001
2.112772e+001	2.168750e+001
2.101993e+001	2.168750e+001
2.091213e+001	2.171875e+001
2.080434e+001	2.181250e+001
2.069654e+001	2.187500e+001
2.058875e+001	2.190625e+001
2.048096e+001	2.196875e+001
2.037316e+001	2.209375e+001
2.026537e+001	2.221875e+001
2.015757e+001	2.231250e+001
2.004978e+001	2.243750e+001
1.994198e+001	2.256250e+001
1.983419e+001	2.268750e+001
1.972639e+001	2.281250e+001
1.961860e+001	2.287500e+001
1.951080e+001	2.287500e+001
1.940301e+001	2.290625e+001
1.929521e+001	2.296875e+001
1.918742e+001	2.303125e+001
1.907962e+001	2.306250e+001
1.897183e+001	2.309375e+001
1.886404e+001	2.312500e+001
1.875624e+001	2.312500e+001
1.864845e+001	2.312500e+001
1.854065e+001	2.312500e+001
1.843286e+001	2.309375e+001
1.832506e+001	2.309375e+001
1.821727e+001	2.309375e+001
1.810947e+001	2.309375e+001
1.800168e+001	2.309375e+001
1.789388e+001	2.309375e+001
1.778609e+001	2.309375e+001
1.767829e+001	2.309375e+001
1.757050e+001	2.309375e+001
1.746271e+001	2.309375e+001
1.735491e+001	2.312500e+001
1.724712e+001	2.309375e+001
1.713932e+001	2.309375e+001
1.703153e+001	2.309375e+001
1.692373e+001	2.312500e+001
1.681594e+001	2.312500e+001
1.670814e+001	2.312500e+001
1.660035e+001	2.309375e+001
1.649255e+001	2.309375e+001
1.638476e+001	2.306250e+001
1.627696e+001	2.300000e+001
1.616917e+001	2.293750e+001
1.606137e+001	2.287500e+001
1.595358e+001	2.287500e+001
