    nm         	mV
7.066143e+000	1.206250e+001
6.959080e+000	1.209375e+001
6.852018e+000	1.215625e+001
6.744955e+000	1.218750e+001
6.637892e+000	1.221875e+001
6.530829e+000	1.221875e+001
6.423766e+000	1.221875e+001
6.316704e+000	1.221875e+001
6.209641e+000	1.221875e+001
6.102578e+000	1.221875e+001
5.995515e+000	1.218750e+001
5.888452e+000	1.215625e+001
5.781390e+000	1.215625e+001
5.674327e+000	1.215625e+001
5.567264e+000	1.212500e+001
5.460201e+000	1.209375e+001
5.353138e+000	1.206250e+001
5.246076e+000	1.200000e+001
5.139013e+000	1.193750e+001
5.031950e+000	1.190625e+001
4.924887e+000	1.187500e+001
4.817824e+000	1.184375e+001
4.710762e+000	1.181250e+001
4.603699e+000	1.181250e+001
4.496636e+000	1.184375e+001
4.389573e+000	1.184375e+001
4.282510e+000	1.184375e+001
4.175448e+000	1.181250e+001
4.068385e+000	1.178125e+001
3.961322e+000	1.181250e+001
3.854259e+000	1.184375e+001
3.747196e+000	1.187500e+001
3.640134e+000	1.187500e+001
3.533071e+000	1.190625e+001
3.426008e+000	1.190625e+001
3.318945e+000	1.190625e+001
3.211882e+000	1.184375e+001
3.104820e+000	1.181250e+001
2.997757e+000	1.178125e+001
2.890694e+000	1.178125e+001
2.783631e+000	1.178125e+001
2.676568e+000	1.178125e+001
2.569505e+000	1.181250e+001
2.462443e+000	1.181250e+001
2.355380e+000	1.184375e+001
2.248317e+000	1.184375e+001
2.141254e+000	1.187500e+001
2.034191e+000	1.184375e+001
1.927129e+000	1.184375e+001
1.820066e+000	1.184375e+001
1.713003e+000	1.184375e+001
1.605940e+000	1.184375e+001
1.498877e+000	1.184375e+001
1.391815e+000	1.181250e+001
1.284752e+000	1.178125e+001
1.177689e+000	1.178125e+001
1.070626e+000	1.175000e+001
9.635635e-001	1.171875e+001
8.565007e-001	1.168750e+001
7.494380e-001	1.165625e+001
6.423752e-001	1.165625e+001
5.353125e-001	1.162500e+001
4.282497e-001	1.162500e+001
3.211870e-001	1.162500e+001
2.141242e-001	1.125000e+001
1.070615e-001	1.162500e+001
-1.276756e-006	1.200000e+001
