Amplitude Error Setpoint: 0.25(V)
Drive Frequency(kHz), Amplitude Error(V), Phase(º)
303.77 0.10513 -57.42
303.78 0.099976 -58.425
303.78 0.095459 -59.42
303.79 0.08963 -60.787
303.8 0.083374 -61.655
303.8 0.078461 -62.699
303.81 0.073395 -63.946
303.81 0.069031 -64.995
303.82 0.064423 -65.841
303.83 0.058594 -67.099
303.83 0.054382 -67.61
303.84 0.049713 -68.917
303.84 0.044708 -69.807
303.85 0.039612 -70.516
303.85 0.035034 -71.34
303.86 0.031403 -72.383
303.87 0.026825 -73.471
303.87 0.022247 -74.421
303.88 0.020386 -75.146
303.88 0.014069 -76.009
303.89 0.0088806 -76.998
303.9 0.0065918 -77.531
303.9 0.0019226 -78.338
303.91 -0.0018921 -79.376
303.91 -0.0055847 -80.052
303.92 -0.0096436 -80.826
303.93 -0.013489 -81.634
303.93 -0.016174 -82.211
303.94 -0.020721 -82.963
303.94 -0.023407 -83.881
303.95 -0.02713 -84.567
303.96 -0.029083 -85.391
303.96 -0.033112 -86.083
303.97 -0.03717 -86.578
303.97 -0.039978 -87.275
303.98 -0.042084 -87.775
303.99 -0.045532 -88.495
303.99 -0.04953 -88.918
304 -0.052338 -89.698
304 -0.055481 -90.417
304.01 -0.058655 -91.516
304.01 -0.059753 -91.423
304.02 -0.063751 -92.12
304.03 -0.066071 -92.675
304.03 -0.06842 -93.675
304.04 -0.071716 -93.994
304.04 -0.073853 -94.515
304.05 -0.076416 -95.12
304.06 -0.079529 -95.889
304.06 -0.082062 -96.372
304.07 -0.084229 -96.861
304.07 -0.086884 -97.586
304.08 -0.089233 -97.652
304.09 -0.091766 -98.553
304.09 -0.093719 -98.844
304.1 -0.095215 -99.651
304.1 -0.096436 -100.04
304.11 -0.10001 -100.33
304.12 -0.10168 -101.08
304.12 -0.10321 -101.93
304.13 -0.10593 -102.29
304.13 -0.1084 -102.32
304.14 -0.10956 -103.02
304.15 -0.11148 -103.74
304.15 -0.1138 -104.04
304.16 -0.11588 -104.24
304.16 -0.11734 -105.11
304.17 -0.11978 -105.67
304.17 -0.12201 -105.28
304.18 -0.12433 -105.87
304.19 -0.12381 -106.67
304.19 -0.12558 -106.94
304.2 -0.12799 -107.15
304.2 -0.1312 -108.29
304.21 -0.13196 -108.14
304.22 -0.13248 -108.09
304.22 -0.13461 -108.59
304.23 -0.13483 -109.08
304.23 -0.13733 -109.57
304.24 -0.13943 -110.51
304.25 -0.14005 -110.47
304.25 -0.14151 -111.09
304.26 -0.14267 -111.44
304.26 -0.14481 -111.73
304.27 -0.14594 -112.76
304.28 -0.14771 -112.74
304.28 -0.14951 -112.81
304.29 -0.15005 -112.33
304.29 -0.1528 -112.99
304.3 -0.15298 -114.04
304.31 -0.15396 -113.88
304.31 -0.15607 -113.69
304.32 -0.15744 -115.41
304.32 -0.15814 -115.14
304.33 -0.16006 -116.2
304.34 -0.16095 -115.58
304.34 -0.16193 -115.96
304.35 -0.16159 -116.67
304.35 -0.16425 -116.53
304.36 -0.16528 -117.24
304.36 -0.16571 -116.86
304.37 -0.16736 -117.58
304.38 -0.16901 -117.7
304.38 -0.17023 -117.6
304.39 -0.17038 -117.62
304.39 -0.1705 -118.31
304.4 -0.17239 -119.01
304.41 -0.17404 -119.28
304.41 -0.17511 -119.08
304.42 -0.17514 -120
304.42 -0.17596 -119.23
304.43 -0.17816 -120.33
304.44 -0.17892 -120.78
304.44 -0.1792 -119.58
304.45 -0.17993 -120.21
304.45 -0.18228 -120.59
304.46 -0.18207 -121.21
304.47 -0.18283 -121.62
304.47 -0.1842 -121.46
304.48 -0.18448 -122.29
304.48 -0.18436 -121.6
